time,latitude,longitude,depth,phase,x,y,z,bx,by,P
2026-07-20 10:45:00,54.697746044291875,15.188863423064486,6.0,communicating,-38909.22293139186,-33550.189083601916,0.0,0.0,0.0,"[[379502305.3839924, -13742120.205812095, 21742.573729588672, -445.03815266687343], [-13742120.205812095, 324884759.5495767, -296.2898602365491, 20302.167719123354], [21742.573729588672, -296.2898602365491, 1.7084333333333344, 0.0], [-445.03815266687343, 20302.167719123354, 0.0, 1.7084333333333344]]"
2026-07-20 10:55:00,54.69776072261511,15.188330579799802,6.0,communicating,-38943.147455230785,-33548.559789722836,0.0,0.0,0.0,"[[409876253.30855685, -15135059.320484972, 22868.18101369334, -477.670510212729], [-15135059.320484972, 349255738.29710644, -317.49052621725224, 21308.472220022795], [22868.18101369334, -317.49052621725224, 1.750100000000001, 0.0], [-477.670510212729, 21308.472220022795, 0.0, 1.750100000000001]]"
2026-07-20 11:05:00,54.69779846175251,15.187800609744654,6.0,communicating,-38976.88905048289,-33544.37074547125,0.0,0.0,0.0,"[[441990751.73609823, -16745648.013851868, 24026.25059282837, -512.3401383385619], [-16745648.013851866, 374970752.64397573, -345.2930006552598, 22343.63346432813], [24026.25059282837, -345.2930006552598, 1.7917666666666678, 0.0], [-512.3401383385619, 22343.63346432813, 0.0, 1.7917666666666678]]"
2026-07-20 11:15:00,54.69785820631164,15.18728054399,6.0,communicating,-39010.000068789675,-33537.73909940794,0.0,0.0,0.0,"[[475799559.978433, -18597317.54745242, 25214.183781378328, -547.8781697502736], [-18597317.54745242, 402077700.9388327, -381.29338008490396, 23407.806787483147], [25214.183781378328, -381.29338008490396, 1.8334333333333346, 0.0], [-547.8781697502736, 23407.806787483147, 0.0, 1.8334333333333346]]"
2026-07-20 11:25:00,54.697938871998765,15.186777606634728,6.0,communicating,-39042.02057355949,-33528.785208137204,0.0,0.0,0.0,"[[511255819.87302345, -20676354.664379563, 26429.653745836637, -582.9886289909709], [-20676354.66437956, 430622070.77527195, -425.2405923712324, 24501.08768680721], [26429.653745836637, -425.2405923712324, 1.8751000000000013, 0.0], [-582.9886289909709, 24501.08768680721, 0.0, 1.8751000000000013]]"
2026-07-20 11:35:00,54.69804055853359,15.18629192950372,6.0,communicating,-39072.942171899755,-33517.498002771055,0.0,0.0,0.0,"[[548388225.0659137, -23003790.573165208, 27672.43891121833, -617.5858571682362], [-23003790.5731652, 460663369.43370634, -477.62173383523685, 25623.9238054172], [27672.43891121833, -477.62173383523685, 1.916766666666668, 0.0], [-617.5858571682362, 25623.9238054172, 0.0, 1.916766666666668]]"
2026-07-20 11:45:00,54.69816337309502,15.185823648839127,6.0,communicating,-39102.75618968363,-33503.8655864527,0.0,0.0,0.0,"[[587224168.919762, -25601669.429114785, 28942.30897695252, -651.5845808897824], [-25601669.42911478, 492263853.70721567, -538.9314838473489, 26776.780999351136], [28942.30897695252, -538.9314838473489, 1.9584333333333348, 0.0], [-651.5845808897824, 26776.780999351136, 0.0, 1.9584333333333348]]"
2026-07-20 11:55:00,54.6983074304728,15.185372904709414,6.0,communicating,-39131.45370917417,-33487.87521751928,0.0,0.0,0.0,"[[627789775.5476663, -28493048.643158816, 30239.02667290678, -684.8998826174325], [-28493048.643158816, 525488680.4942819, -609.6719718652083, 27960.14351611228], [30239.02667290678, -609.6719718652083, 2.0001000000000015, 0.0], [-684.8998826174325, 27960.14351611228, 0.0, 2.0001000000000015]]"
2026-07-20 12:05:00,54.69847285321046,15.184939840459077,6.0,communicating,-39159.02560405977,-33469.513293638556,0.0,0.0,0.0,"[[670109947.4557266, -31701998.405783344, 31562.349637106912, -717.4471316907445], [-31701998.40578334, 560406062.707416, -690.3526997992104, 29174.51417287381], [31562.349637106912, -690.3526997992104, 2.041766666666668, 0.0], [-717.4471316907445, 29174.51417287381, 0.0, 2.041766666666668]]"
