time,latitude,longitude,depth,phase,x,y,z,bx,by,Q_x,Q_y,Q_bx,Q_by,P
2026-07-08 12:32:44,59.10782287677938,20.8465627969347,0.0,communicating,47.6926554236651,27.40530741670989,0.0,0.0,0.0,4.0,4.0,6.944444444444444e-05,6.944444444444444e-05,"[[2436.0, 0.0, 0.060000000000000005, 0.0], [0.0, 2436.0, 0.0, 0.060000000000000005], [0.060000000000000005, 0.0, 0.04176666666666667, 0.0], [0.0, 0.060000000000000005, 0.0, 0.04176666666666667]]"
2026-07-08 12:42:44,59.10802000381717,20.8474443122089,0.0,communicating,97.93063808611647,49.2864086104157,0.0,0.0,0.0,4.0,4.0,6.944444444444444e-05,6.944444444444444e-05,"[[19949.369632203205, 9.78131231250658, 25.120065117584698, 3.9838739249471236e-05], [9.78131231250658, 19946.000116625517, 0.00019734502578557756, 25.12002394873429], [25.120065117584698, 0.00019734502578557756, 0.08343333333333333, 0.0], [3.9838739249471236e-05, 25.12002394873429, 0.0, 0.08343333333333333]]"
2026-07-08 12:52:44,59.108167231645844,20.84837100726518,0.0,communicating,150.7434384233648,65.62869759419999,0.0,0.0,0.0,4.0,4.0,6.944444444444444e-05,6.944444444444444e-05,"[[82616.15207052282, 147.17970958796082, 75.2111400502336, 0.01948256496503881], [147.17970958796076, 82544.4706827014, 0.07913819702912431, 75.18654540308087], [75.2111400502336, 0.07913819702912431, 0.1251, 0.0], [0.01948256496503881, 75.18654540308087, 0.0, 0.1251]]"
2026-07-08 13:02:44,59.10826480790216,20.84934393706459,0.0,communicating,206.19117917710747,76.45966204524315,0.0,0.0,0.0,4.0,4.0,6.944444444444444e-05,6.944444444444444e-05,"[[220660.4751962467, 704.4353283536735, 150.37553605063192, 0.08615072641129996], [704.4353283536734, 220237.16968485652, 0.30543418174527337, 150.2557741848542], [150.37553605063192, 0.30543418174527337, 0.16676666666666665, 0.0], [0.08615072641129996, 150.2557741848542, 0.0, 0.16676666666666665]]"
2026-07-08 13:12:44,59.10831328335193,20.85034995627472,0.0,communicating,263.52470148314205,81.84043697007563,0.0,0.0,0.0,4.0,4.0,6.944444444444444e-05,6.944444444444444e-05,"[[464486.56526346225, 2146.5573149530974, 250.662448404425, 0.23264368681791994], [2146.557314953097, 462974.46860407596, 0.7420818051775332, 250.31314842114946], [250.662448404425, 0.7420818051775332, 0.2084333333333333, 0.0], [0.23264368681791994, 250.31314842114946, 0.0, 0.2084333333333333]]"
2026-07-08 13:13:44,59.10831849475329,20.850448872812215,4.8,descending,269.1620028903746,82.418902520292,0.0,0.0,0.0,4.0,4.0,6.944444444444444e-05,6.944444444444444e-05,"[[495718.21215780417, 2391.115032404135, 263.21069040388903, 0.25771547688738894], [2391.1150324041346, 493990.18716227426, 0.8141650609873291, 262.81568038589785], [263.21069040388903, 0.8141650609873291, 0.21259999999999998, 0.0], [0.25771547688738894, 262.81568038589785, 0.0, 0.21259999999999998]]"
2026-07-08 13:14:44,59.10832851901994,20.85054688247286,9.6,descending,274.74762094637555,83.53159611847458,0.0,0.0,0.0,4.0,4.0,6.944444444444444e-05,6.944444444444444e-05,"[[528494.0027615408, 2652.1911223565326, 276.0142763616025, 0.284414064477892], [2652.191122356532, 526524.5315161841, 0.8885819602708037, 275.5690986150336], [276.0142763616025, 0.8885819602708037, 0.21676666666666666, 0.0], [0.284414064477892, 275.5690986150336, 0.0, 0.21676666666666666]]"
2026-07-08 13:15:44,59.10834175217981,20.850644767965516,14.399999999999999,descending,280.32616260858345,85.00047686422808,0.0,0.0,0.0,4.0,4.0,6.944444444444444e-05,6.944444444444444e-05,"[[562841.5185459402, 2928.5935447262395, 289.0722380010506, 0.31306234677320277], [2928.593544726239, 560607.3116411264, 0.9641107715173388, 288.5733059640798], [289.0722380010506, 0.9641107715173388, 0.22093333333333334, 0.0], [0.31306234677320277, 288.5733059640798, 0.0, 0.22093333333333334]]"
2026-07-08 13:16:44,59.10835763748074,20.850722348933644,19.2,descending,284.74753957819394,86.76374526698373,0.0,0.0,0.0,4.0,4.0,6.944444444444444e-05,6.944444444444444e-05,"[[598715.0040000256, 2874.359091437572, 302.36553550848794, 0.27479830706175656], [2874.3590914375714, 596610.0595549206, 0.9368000899457901, 301.91393754866056], [302.36553550848794, 0.9368000899457901, 0.22510000000000002, 0.0], [0.27479830706175656, 301.91393754866056, 0.0, 0.22510000000000002]]"
2026-07-08 13:17:44,59.10838158585901,20.85079008929748,24.0,descending,288.60809574030714,89.42201525504127,0.0,0.0,0.0,4.0,4.0,6.944444444444444e-05,6.944444444444444e-05,"[[636139.0307913962, 2685.7337295083066, 315.89362612407626, 0.2225774789169888], [2685.7337295083057, 634108.8922349632, 0.8606669332589298, 315.4739428821771], [315.89362612407626, 0.8606669332589298, 0.2292666666666667, 0.0], [0.2225774789169888, 315.4739428821771, 0.0, 0.2292666666666667]]"
2026-07-08 13:18:44,59.10841072510623,20.850865255123633,28.8,descending,292.8918325984734,92.6564716966179,0.0,0.0,0.0,4.0,4.0,6.944444444444444e-05,6.944444444444444e-05,"[[675187.1851325281, 2604.7606680435297, 329.66788416306133, 0.19371191867231885], [2604.7606680435288, 673065.7914609455, 0.8190207972939445, 329.23845610610744], [329.66788416306133, 0.8190207972939445, 0.23343333333333338, 0.0], [0.19371191867231885, 329.23845610610744, 0.0, 0.23343333333333338]]"
2026-07-08 13:19:44,59.10844217000687,20.850940900123273,33.6,descending,297.20287778577773,96.14685566777345,0.0,0.0,0.0,4.0,4.0,6.944444444444444e-05,6.944444444444444e-05,"[[715862.638334321, 2603.7298479907527, 343.6821771987683, 0.19048518625093488], [2603.729847990752, 713548.4123057247, 0.7929361481479998, 343.21926653801563], [343.6821771987683, 0.7929361481479998, 0.23760000000000006, 0.0], [0.19048518625093488, 343.21926653801563, 0.0, 0.23760000000000006]]"
2026-07-08 13:20:44,59.108473917730834,20.851017312974847,38.4,descending,301.55768322687953,99.67085302800989,0.0,0.0,0.0,4.0,4.0,6.944444444444444e-05,6.944444444444444e-05,"[[758233.2919297994, 2671.7779535645004, 357.94597960839513, 0.1890591154859894], [2671.7779535645, 755508.8074030636, 0.7986528915814775, 357.40014057071176], [357.94597960839513, 0.7986528915814775, 0.24176666666666674, 0.0], [0.1890591154859894, 357.40014057071176, 0.0, 0.24176666666666674]]"
2026-07-08 13:21:44,59.10850452543435,20.85109527340854,43.199999999999996,descending,306.00068612297275,103.06830811785377,0.0,0.0,0.0,4.0,4.0,6.944444444444444e-05,6.944444444444444e-05,"[[802336.6308621683, 2779.3724885433853, 372.46104960437907, 0.1792474020977345], [2779.372488543385, 799001.104162271, 0.8307491062254136, 371.78962720313325], [372.46104960437907, 0.8307491062254136, 0.24593333333333342, 0.0], [0.1792474020977345, 371.78962720313325, 0.0, 0.24593333333333342]]"
2026-07-08 13:22:44,59.10853226147649,20.85117411920433,47.99999999999999,descending,310.4941462341049,106.14700879522582,0.0,0.0,0.0,4.0,4.0,6.944444444444444e-05,6.944444444444444e-05,"[[848217.5558563859, 2845.4530784237286, 387.23068977458905, 0.14719326780215505], [2845.4530784237286, 844076.3491233564, 0.865332519421088, 386.3950077325495], [387.23068977458905, 0.865332519421088, 0.2501000000000001, 0.0], [0.14719326780215505, 386.3950077325495, 0.0, 0.2501000000000001]]"
2026-07-08 13:23:44,59.10855349714467,20.85124974777067,52.79999999999999,descending,314.80425487971377,108.50416796345564,0.0,0.0,0.0,4.0,4.0,6.944444444444444e-05,6.944444444444444e-05,"[[895968.7200277338, 2701.530877337353, 402.2685708524991, 0.06167751041539061], [2701.5308773373526, 890724.8930445608, 0.8597495406986615, 401.20957072994685], [402.2685708524991, 0.8597495406986615, 0.25426666666666675, 0.0], [0.06167751041539061, 401.20957072994685, 0.0, 0.25426666666666675]]"
2026-07-08 13:24:44,59.10856181085082,20.851312496796222,57.59999999999999,descending,318.3803522544242,109.42698934679636,0.0,0.0,0.0,4.0,4.0,6.944444444444444e-05,6.944444444444444e-05,"[[945709.8471135956, 2438.2394064853142, 417.5931634842755, -0.015557673375047876], [2438.2394064853142, 939316.572030114, 0.7973832445663427, 416.3102718465448], [417.5931634842755, 0.7973832445663427, 0.2584333333333334, 0.0], [-0.015557673375047876, 416.3102718465448, 0.0, 0.2584333333333334]]"
2026-07-08 13:25:44,59.10855800514683,20.851353635785937,62.399999999999984,descending,320.7248832143923,109.00455620382726,0.0,0.0,0.0,4.0,4.0,6.944444444444444e-05,6.944444444444444e-05,"[[997453.9285327973, 2152.440043290004, 433.19865750156214, -0.048040398472156985], [2152.440043290003, 990060.2339770604, 0.6864476963085229, 431.73365648010434], [433.19865750156214, 0.6864476963085229, 0.26260000000000006, 0.0], [-0.048040398472156985, 431.73365648010434, 0.0, 0.26260000000000006]]"
2026-07-08 13:26:44,59.108548930056045,20.85135140176173,67.19999999999999,descending,320.59756509217704,107.99722112606747,0.0,0.0,0.0,4.0,4.0,6.944444444444444e-05,6.944444444444444e-05,"[[1051062.003176459, 2143.7389589496643, 449.04747090575, 0.04170301411923635], [2143.7389589496634, 1043310.236825285, 0.576938046211218, 447.54440472071985], [449.04747090575, 0.576938046211218, 0.2667666666666667, 0.0], [0.04170301411923635, 447.54440472071985, 0.0, 0.2667666666666667]]"
2026-07-08 13:27:44,59.108543876479864,20.85131696736282,71.99999999999999,descending,318.6351320113014,107.43627416997256,0.0,0.0,0.0,4.0,4.0,6.944444444444444e-05,6.944444444444444e-05,"[[1106555.7280331296, 2286.4225889850118, 465.1382382603816, 0.1894877232656086], [2286.422588985011, 1098860.0784482385, 0.47342495631276676, 463.6852639653066], [465.1382382603816, 0.47342495631276676, 0.27093333333333336, 0.0], [0.1894877232656086, 463.6852639653066, 0.0, 0.27093333333333336]]"
2026-07-08 13:28:44,59.10855659024281,20.85126754367341,76.79999999999998,descending,315.8184520007959,108.84750185735497,0.0,0.0,0.0,4.0,4.0,6.944444444444444e-05,6.944444444444444e-05,"[[1163954.4361653975, 2334.523357130614, 481.46931407633286, 0.28316523578087155], [2334.5233571306135, 1156300.6980733678, 0.3832582435853294, 480.06135951462875], [481.46931407633286, 0.3832582435853294, 0.2751, 0.0], [0.28316523578087155, 480.06135951462875, 0.0, 0.2751]]"
2026-07-08 13:29:44,59.10858167178744,20.851209583678287,81.59999999999998,descending,312.51528379109874,111.63155331143749,0.0,0.0,0.0,4.0,4.0,6.944444444444444e-05,6.944444444444444e-05,"[[1223221.8805681453, 2271.686213594216, 498.0278897179306, 0.3227689763472577], [2271.6862135942156, 1215655.8204182584, 0.30209677490228787, 496.67224847808603], [498.0278897179306, 0.30209677490228787, 0.27926666666666666, 0.0], [0.3227689763472577, 496.67224847808603, 0.0, 0.27926666666666666]]"
2026-07-08 13:30:44,59.108607535458695,20.851156117308477,86.39999999999998,descending,309.4682094657364,114.50242082071489,0.0,0.0,0.0,4.0,4.0,6.944444444444444e-05,6.944444444444444e-05,"[[1284235.3463858715, 2073.922183382286, 514.7848466062034, 0.31356746419508574], [2073.9221833822858, 1276936.5702003813, 0.2176623171420112, 513.5150147437129], [514.7848466062034, 0.2176623171420112, 0.2834333333333333, 0.0], [0.31356746419508574, 513.5150147437129, 0.0, 0.2834333333333333]]"
