time,latitude,longitude,depth,phase,x,y,z,bx,by,P
2026-07-25 05:40:00,56.3454620220781,19.308850958303974,0.0,communicating,64460.47500644233,24582.284450669227,0.0,0.0,0.0,"[[2436.0, 0.0, 0.060000000000000005, 0.0], [0.0, 2436.0, 0.0, 0.060000000000000005], [0.060000000000000005, 0.0, 0.04176666666666667, 0.0], [0.0, 0.060000000000000005, 0.0, 0.04176666666666667]]"
2026-07-25 05:50:00,56.34556116024287,19.308216767778063,0.0,communicating,64421.23693479798,24593.288786958692,0.0,0.0,0.0,"[[19955.22841475383, -10.807156810530802, 25.12013497885539, -0.0003723749152753377], [-10.8071568105308, 19933.17424188048, 0.00010901862919383498, 25.11986837957677], [25.12013497885539, 0.00010901862919383498, 0.08343333333333333, 0.0], [-0.0003723749152753377, 25.11986837957677, 0.0, 0.08343333333333333]]"
2026-07-25 06:00:00,56.34569728409567,19.307597117817572,0.0,communicating,64382.8985040727,24608.398534619457,0.0,0.0,0.0,"[[82689.5762893758, -163.5939309369921, 75.23505685005989, -0.1583143540151088], [-163.59393093699214, 82358.55743151568, 0.048234175891248884, 75.12440133945081], [75.23505685005989, 0.048234175891248884, 0.1251, 0.0], [-0.1583143540151088, 75.12440133945081, 0.0, 0.1251]]"
2026-07-25 06:01:00,56.34571458238078,19.307536574589957,1.5,descending,64379.15262739083,24610.318644266314,0.0,0.0,0.0,"[[92445.51528300393, -208.0441855449558, 82.75704282057269, -0.20632345606768676], [-208.04418554495584, 92025.0592635546, 0.06341994185474097, 82.61362456042954], [82.75704282057269, 0.06341994185474097, 0.12926666666666667, 0.0], [-0.20632345606768676, 82.61362456042954, 0.0, 0.12926666666666667]]"
2026-07-25 06:02:00,56.34573039116879,19.307471289076922,3.0,descending,64375.11334024759,24612.073419735643,0.0,0.0,0.0,"[[103123.56754741637, -258.77655050308715, 90.5306490413721, -0.2593185433203592], [-258.77655050308715, 102600.87317823844, 0.080385859369218, 90.35122535700003], [90.5306490413721, 0.080385859369218, 0.13343333333333335, 0.0], [-0.2593185433203592, 90.35122535700003, 0.0, 0.13343333333333335]]"
2026-07-25 06:03:00,56.34574516649665,19.307401716915436,4.5,descending,64370.80883340725,24613.713481127983,0.0,0.0,0.0,"[[114754.11225831819, -316.1686349979285, 98.55583421929742, -0.3173824450325219], [-316.1686349979285, 114115.56827213534, 0.09928308548514554, 98.33721980686313], [98.55583421929742, 0.09928308548514554, 0.13760000000000003, 0.0], [-0.3173824450325219, 98.33721980686313, 0.0, 0.13760000000000003]]"
2026-07-25 06:04:00,56.34575928983871,19.307328394721974,6.0,descending,64366.27230792674,24615.28117209663,0.0,0.0,0.0,"[[127367.75323787262, -380.37061336484294, 106.8326512495266, -0.3805123951628704], [-380.370613364843, 126598.69265137627, 0.12035874985837741, 106.57161506306761], [106.8326512495266, 0.12035874985837741, 0.1417666666666667, 0.0], [-0.3805123951628704, 106.57161506306761, 0.0, 0.1417666666666667]]"
2026-07-25 06:05:00,56.34577305387505,19.307251819093523,7.5,descending,64361.534488813035,24616.8089801305,0.0,0.0,0.0,"[[140995.0187222382, -451.1906232287777, 115.36111662770573, -0.44845326968733656], [-451.1906232287778, 140079.6861903945, 0.14385436831247247, 115.05437481304915], [115.36111662770573, 0.14385436831247247, 0.1459333333333334, 0.0], [-0.44845326968733656, 115.05437481304915, 0.0, 0.1459333333333334]]"
2026-07-25 06:06:00,56.34578669314844,19.30717235510745,9.0,descending,64356.6179638079,24618.322939476624,0.0,0.0,0.0,"[[155666.24870642566, -527.5899199672529, 124.14117377922187, -0.5203576244064465], [-527.589919967253, 154587.68986935393, 0.17002308195256025, 123.78535022489432], [124.14117377922187, 0.17002308195256025, 0.15010000000000007, 0.0], [-0.5203576244064465, 123.78535022489432, 0.0, 0.15010000000000007]]"
2026-07-25 06:07:00,56.345800515264294,19.307089589118345,10.5,descending,64351.49714021064,24619.857194336462,0.0,0.0,0.0,"[[171408.34180079258, -603.1020708471268, 133.17148401250432, -0.5915208153637245], [-603.1020708471269, 170149.7317961407, 0.19927273225708525, 132.7636026067202], [133.17148401250432, 0.19927273225708525, 0.15426666666666675, 0.0], [-0.5915208153637245, 132.7636026067202, 0.0, 0.15426666666666675]]"
